Chinese,English 
生成,generate
水平线移动,horizontal line movement
亳州市市辖区,District of Bozhou City
用来匹配映射的字段名,The field name to match against
东莞生态园,Dongguan Ecological Park
可以用作,can be used as
是否是大弧,Is it a big arc
尽管,although
可以让侧边栏支持动态调整宽度,You can make the sidebar support dynamic adjustment of width
详细设计,detailed design
上方插入一行,Insert a row above
会导致绝对定位不准确,will result in inaccurate absolute positioning
你点击了,you clicked
根据路径判断是选中单元格还是行,Determine whether to select a cell or a row based on the path
不选,do not choose
自动会采用,automatically takes
支持自动上传及上传多张图片,Support automatic upload and upload multiple pictures
用来自定义值的展示,Used to customize the display of values
默认全选,Select all by default
工具栏内容,toolbar content
之类的错误写法转成,Wrong writing like
不会上传到服务器,won't upload to server
分隔符,delimiter
并附上样式,and attach the style
用来取整个上下数据,Used to fetch the entire upper and lower data
休宁县,Xiuning County
中的文件名,filename in
传来的处理过的,incoming processed
删除对应节点,Delete the corresponding node
动态处理,dynamic processing
需要这个字段,need this field
吉州区,Jizhou District
可以从,available from
朗县,Long County
自己生成主题,generate themes yourself
即自定义事件,i.e. custom event
面包屑类,Bread crumbs
在属性面板中自动弹出组件面板,Automatically pop up the component panel in the property panel
汶上县,Wenshang County
这里会闪一下,flash here
用来做分块前的准备工作,Used to do preparatory work before partitioning
内间距,inner spacing
是否自动将第一个表单元素聚焦,Whether to automatically focus the first form element
崇阳县,Chongyang County
绍兴市,Shaoxing
上面例子中,In the example above
拍平的,flat
菜单项模式,menu item pattern
提交接口,submit interface
是否显示底部,Whether to show the bottom
但是已经被广泛使用了,But it has been widely used
格式的表达式,format expression
因为,because
禁用回车提交,Disable carriage return submission
的外观切换,Appearance toggle for
可以实现超级表头放在左侧,It can be realized that the super table header is placed on the left side
